date,username,time,task,computer,stimfile
08/11/2016,gru,11-Aug-2016 15:42:54,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160811_stim03.mat
08/11/2016,gru,11-Aug-2016 16:06:49,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160811_stim04.mat
08/16/2016,gru,16-Aug-2016 16:20:16,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160816_stim01.mat
08/16/2016,gru,16-Aug-2016 16:44:56,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160816_stim02.mat
08/16/2016,gru,16-Aug-2016 21:39:18,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160816_stim03.mat
08/29/2016,gru,29-Aug-2016 17:35:59,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160829_stim01.mat
08/30/2016,gru,30-Aug-2016 17:15:38,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160830_stim01.mat
08/30/2016,gru,30-Aug-2016 17:47:02,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160830_stim04.mat
08/31/2016,gru,31-Aug-2016 16:05:14,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160831_stim01.mat
08/31/2016,gru,31-Aug-2016 16:30:46,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/160831_stim02.mat
09/08/2016,gru,08-Sep-2016 15:58:41,somdisAdapt.m,dubonnet.stanford.edu,~/data/somdisAdapt/s302/160908_stim06.mat
09/08/2016,gru,08-Sep-2016 16:16:37,somdisAdapt.m,dubonnet.stanford.edu,~/data/somdisAdapt/s302/160908_stim07.mat
09/08/2016,gru,08-Sep-2016 16:35:03,somdisAdapt.m,dubonnet.stanford.edu,~/data/somdisAdapt/s302/160908_stim08.mat
09/08/2016,gru,08-Sep-2016 16:53:45,somdisAdapt.m,dubonnet.stanford.edu,~/data/somdisAdapt/s302/160908_stim09.mat
09/09/2016,gru,09-Sep-2016 15:10:09,somdisAdapt.m,dubonnet.stanford.edu,~/data/somdisAdapt/s302/160909_stim01.mat
09/09/2016,gru,09-Sep-2016 15:28:19,somdisAdapt.m,dubonnet.stanford.edu,~/data/somdisAdapt/s302/160909_stim02.mat
09/09/2016,gru,09-Sep-2016 15:46:26,somdisAdapt.m,dubonnet.stanford.edu,~/data/somdisAdapt/s302/160909_stim03.mat
11/11/2016,gru,11-Nov-2016 18:52:11,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/161111_stim01.mat
11/14/2016,gru,14-Nov-2016 16:38:01,somdisAtt.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/161114_stim02.mat
11/16/2016,gru,16-Nov-2016 16:31:18,somAttBlocks.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/161116_stim05.mat
11/16/2016,gru,16-Nov-2016 16:45:28,somAttBlocks.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/161116_stim06.mat
11/16/2016,gru,16-Nov-2016 17:00:01,somAttBlocks.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/161116_stim07.mat
11/16/2016,gru,16-Nov-2016 17:14:16,somAttBlocks.m,dubonnet.stanford.edu,~/data/somdisAtt/s302/161116_stim08.mat
12/15/2016,gru,15-Dec-2016 10:14:17,somGetDelta.m,dubonnet.stanford.edu,~/data/somGetDelta/s302/161215_stim01.mat
12/15/2016,gru,15-Dec-2016 10:22:45,somGetDelta.m,dubonnet.stanford.edu,~/data/somGetDelta/s302/161215_stim02.mat
12/15/2016,gru,15-Dec-2016 10:27:59,somTestDelta.m,dubonnet.stanford.edu,~/data/somTestDelta/s302/161215_stim03.mat
12/15/2016,gru,15-Dec-2016 10:47:22,somFixedDelta.m,dubonnet.stanford.edu,~/data/somFixedDelta/s302/161215_stim04.mat
